"date";"category";"value"
"2025-09-01";"Алтайский край";66.6
"2025-09-01";"Амурская область";70.4
"2025-09-01";"Архангельская область";75.8
"2025-09-01";"Астраханская область";60.7
"2025-09-01";"Белгородская область";67.2
"2025-09-01";"Брянская область";61.3
"2025-09-01";"Владимирская область";66.2
"2025-09-01";"Волгоградская область";64.2
"2025-09-01";"Вологодская область";72
"2025-09-01";"Воронежская область";68
"2025-09-01";"Еврейская автономная область";69.3
"2025-09-01";"Забайкальский край";70.5
"2025-09-01";"Ивановская область";64.4
"2025-09-01";"Иркутская область";70.3
"2025-09-01";"Кабардино-Балкарская Республика";46.5
"2025-09-01";"Калининградская область";71.5
"2025-09-01";"Калужская область";66.7
"2025-09-01";"Камчатский край";71.2
"2025-09-01";"Карачаево-Черкесская Республика";47.4
"2025-09-01";"Кемеровская область";71.5
"2025-09-01";"Кировская область";70.2
"2025-09-01";"Костромская область";69.4
"2025-09-01";"Краснодарский край";66.5
"2025-09-01";"Красноярский край";70.5
"2025-09-01";"Курганская область";68.2
"2025-09-01";"Курская область";64.9
"2025-09-01";"Ленинградская область";74.2
"2025-09-01";"Липецкая область";64.7
"2025-09-01";"Магаданская область";75.3
"2025-09-01";"Москва";77
"2025-09-01";"Московская область";72.7
"2025-09-01";"Мурманская область";76.6
"2025-09-01";"Ненецкий автономный округ";80.5
"2025-09-01";"Нижегородская область";69.7
"2025-09-01";"Новгородская область";71.7
"2025-09-01";"Новосибирская область";69.4
"2025-09-01";"Омская область";68.8
"2025-09-01";"Оренбургская область";65.6
"2025-09-01";"Орловская область";63.8
"2025-09-01";"Пензенская область";61.3
"2025-09-01";"Пермский край";71.6
"2025-09-01";"Приморский край";66.9
"2025-09-01";"Псковская область";68.1
"2025-09-01";"Республика Адыгея";61.8
"2025-09-01";"Республика Алтай";71.4
"2025-09-01";"Республика Башкортостан";69.5
"2025-09-01";"Республика Бурятия";71.5
"2025-09-01";"Республика Дагестан";33.3
"2025-09-01";"Республика Ингушетия";24.3
"2025-09-01";"Республика Калмыкия";58.5
"2025-09-01";"Республика Карелия";77
"2025-09-01";"Республика Коми";76.6
"2025-09-01";"Республика Крым";64.4
"2025-09-01";"Республика Марий Эл";67.8
"2025-09-01";"Республика Мордовия";65.3
"2025-09-01";"Республика Саха (Якутия)";78.9
"2025-09-01";"Республика Северная Осетия — Алания";50.3
"2025-09-01";"Республика Татарстан";68.7
"2025-09-01";"Республика Тыва";67.8
"2025-09-01";"Республика Хакасия";66.6
"2025-09-01";"Россия";70
"2025-09-01";"Ростовская область";63.7
"2025-09-01";"Рязанская область";65.1
"2025-09-01";"Самарская область";68
"2025-09-01";"Санкт-Петербург";76.2
"2025-09-01";"Саратовская область";64.6
"2025-09-01";"Сахалинская область";73
"2025-09-01";"Свердловская область";71.7
"2025-09-01";"Севастополь";68.8
"2025-09-01";"Смоленская область";63
"2025-09-01";"Ставропольский край";61.7
"2025-09-01";"Тамбовская область";61
"2025-09-01";"Тверская область";68.9
"2025-09-01";"Томская область";73.1
"2025-09-01";"Тульская область";66.3
"2025-09-01";"Тюменская область";73.2
"2025-09-01";"Удмуртская Республика";68.4
"2025-09-01";"Ульяновская область";64.2
"2025-09-01";"Хабаровский край";71.4
"2025-09-01";"Ханты-Мансийский автономный округ — Югра";75.2
"2025-09-01";"Челябинская область";67.7
"2025-09-01";"Чеченская Республика";27.3
"2025-09-01";"Чувашская Республика";65.3
"2025-09-01";"Чукотский автономный округ";78.6
"2025-09-01";"Ямало-Ненецкий автономный округ";78
"2025-09-01";"Ярославская область";69.5
"2025-08-01";"Алтайский край";66.2
"2025-08-01";"Амурская область";70.1
"2025-08-01";"Архангельская область";74.2
"2025-08-01";"Астраханская область";60.2
"2025-08-01";"Белгородская область";66.1
"2025-08-01";"Брянская область";61.6
"2025-08-01";"Владимирская область";67.5
"2025-08-01";"Волгоградская область";64.4
"2025-08-01";"Вологодская область";70.8
"2025-08-01";"Воронежская область";67.8
