date;region;value
2025-09-01;Липецкая область;2515
2025-09-01;Ленинградская область;18587
2025-09-01;Курская область;1012
2025-09-01;Курганская область;1444
2025-09-01;Красноярский край;4620
2025-09-01;Краснодарский край;43295
2025-09-01;Костромская область;489
2025-09-01;Кировская область;1425
2025-09-01;Кемеровская область;2273
2025-09-01;Калужская область;1001
2025-09-01;Калининградская область;7305
2025-09-01;Иркутская область;4146
2025-09-01;Ивановская область;801
2025-09-01;Забайкальский край;504
2025-09-01;Воронежская область;9567
2025-09-01;Вологодская область;1159
2025-09-01;Волгоградская область;3101
2025-09-01;Владимирская область;2168
2025-09-01;Брянская область;1229
2025-09-01;Белгородская область;298
2025-09-01;Астраханская область;4335
2025-09-01;Архангельская область;1797
2025-09-01;Амурская область;655
2025-09-01;Алтайский край;1203
2025-09-01;Россия;418975
2025-08-01;Ярославская область;2442
2025-08-01;Чувашская Республика;1374
2025-08-01;Челябинская область;5954
2025-08-01;Ханты-Мансийский автономный округ — Югра;3552
2025-08-01;Хабаровский край;4732
2025-08-01;Ульяновская область;1858
2025-08-01;Удмуртская Республика;4349
2025-08-01;Тюменская область;23903
2025-08-01;Тульская область;2685
2025-08-01;Томская область;1359
2025-08-01;Тверская область;1102
2025-08-01;Ставропольский край;6479
2025-08-01;Смоленская область;1685
2025-08-01;Свердловская область;22087
2025-08-01;Сахалинская область;1241
2025-08-01;Саратовская область;843
2025-08-01;Санкт-Петербург;23085
2025-08-01;Самарская область;4209
2025-08-01;Рязанская область;7966
2025-08-01;Ростовская область;22437
2025-08-01;Республика Татарстан;12624
2025-08-01;Республика Саха (Якутия);1192
2025-08-01;Республика Мордовия;661
2025-08-01;Республика Марий Эл;699
2025-08-01;Республика Карелия;228
2025-08-01;Республика Бурятия;682
2025-08-01;Республика Башкортостан;12494
2025-08-01;Республика Адыгея;1737
2025-08-01;Псковская область;1287
2025-08-01;Приморский край;12213
2025-08-01;Пермский край;7615
2025-08-01;Пензенская область;8164
2025-08-01;Орловская область;943
2025-08-01;Оренбургская область;988
2025-08-01;Омская область;903
2025-08-01;Новосибирская область;10292
2025-08-01;Нижегородская область;5031
2025-08-01;Московская область;31623
2025-08-01;Москва;42230
2025-08-01;Липецкая область;2205
2025-08-01;Ленинградская область;15240
2025-08-01;Курская область;822
2025-08-01;Курганская область;1514
2025-08-01;Красноярский край;5653
2025-08-01;Краснодарский край;37407
2025-08-01;Костромская область;515
2025-08-01;Кировская область;1124
2025-08-01;Кемеровская область;2335
2025-08-01;Калужская область;1100
2025-08-01;Калининградская область;7787
2025-08-01;Иркутская область;3792
2025-08-01;Ивановская область;1094
2025-08-01;Забайкальский край;468
2025-08-01;Воронежская область;9255
2025-08-01;Вологодская область;927
2025-08-01;Волгоградская область;2951
2025-08-01;Владимирская область;2069
2025-08-01;Брянская область;1038
2025-08-01;Белгородская область;94
2025-08-01;Астраханская область;3542
2025-08-01;Архангельская область;1409
2025-08-01;Амурская область;587
2025-08-01;Алтайский край;1274
2025-08-01;Россия;400576
2025-07-01;Ярославская область;2507
2025-07-01;Чувашская Республика;1273
2025-07-01;Челябинская область;6791
2025-07-01;Ханты-Мансийский автономный округ — Югра;3956
2025-07-01;Хабаровский край;5838
2025-07-01;Ульяновская область;2029
2025-07-01;Удмуртская Республика;5015
2025-07-01;Тюменская область;22767
2025-07-01;Тульская область;3147
2025-07-01;Томская область;1122
2025-07-01;Тверская область;1048
2025-07-01;Ставропольский край;6415
2025-07-01;Смоленская область;1732
2025-07-01;Свердловская область;21108
2025-07-01;Сахалинская область;305
2025-07-01;Саратовская область;888
2025-07-01;Санкт-Петербург;23455
