date;region;value
2025-09-01;Ярославская область;2659
2025-09-01;Ямало-Ненецкий автономный округ;2557
2025-09-01;Чукотский автономный округ;122
2025-09-01;Чувашская Республика;2156
2025-09-01;Чеченская Республика;119
2025-09-01;Челябинская область;7576
2025-09-01;Ханты-Мансийский автономный округ — Югра;7074
2025-09-01;Хабаровский край;3667
2025-09-01;Ульяновская область;2718
2025-09-01;Удмуртская Республика;2024
2025-09-01;Тюменская область;14083
2025-09-01;Тульская область;2614
2025-09-01;Томская область;2516
2025-09-01;Тверская область;1773
2025-09-01;Тамбовская область;1372
2025-09-01;Ставропольский край;4036
2025-09-01;Смоленская область;1597
2025-09-01;Севастополь;2321
2025-09-01;Свердловская область;12523
2025-09-01;Сахалинская область;1756
2025-09-01;Саратовская область;3793
2025-09-01;Санкт-Петербург;14593
2025-09-01;Самарская область;5695
2025-09-01;Рязанская область;2182
2025-09-01;Ростовская область;10693
2025-09-01;Республика Хакасия;1698
2025-09-01;Республика Тыва;772
2025-09-01;Республика Татарстан;7242
2025-09-01;Республика Северная Осетия — Алания;680
2025-09-01;Республика Саха (Якутия);2888
2025-09-01;Республика Мордовия;1501
2025-09-01;Республика Марий Эл;1123
2025-09-01;Республика Крым;6949
2025-09-01;Республика Коми;2588
2025-09-01;Республика Карелия;861
2025-09-01;Республика Калмыкия;210
2025-09-01;Республика Дагестан;863
2025-09-01;Республика Бурятия;2035
2025-09-01;Республика Башкортостан;10569
2025-09-01;Республика Алтай;304
2025-09-01;Республика Адыгея;836
2025-09-01;Псковская область;1004
2025-09-01;Приморский край;2963
2025-09-01;Пермский край;4693
2025-09-01;Пензенская область;3213
2025-09-01;Орловская область;1119
2025-09-01;Оренбургская область;4257
2025-09-01;Омская область;4931
2025-09-01;Новосибирская область;9732
2025-09-01;Новгородская область;966
2025-09-01;Нижегородская область;5108
2025-09-01;Мурманская область;1167
2025-09-01;Московская область;18864
2025-09-01;Москва;17759
2025-09-01;Магаданская область;404
2025-09-01;Липецкая область;1684
2025-09-01;Ленинградская область;6517
2025-09-01;Курская область;2058
2025-09-01;Курганская область;1510
2025-09-01;Красноярский край;6315
2025-09-01;Краснодарский край;20052
2025-09-01;Костромская область;1468
2025-09-01;Кировская область;1900
2025-09-01;Кемеровская область;8057
2025-09-01;Карачаево-Черкесская Республика;329
2025-09-01;Камчатский край;775
2025-09-01;Калужская область;3546
2025-09-01;Калининградская область;4285
2025-09-01;Кабардино-Балкарская Республика;272
2025-09-01;Иркутская область;4248
2025-09-01;Ивановская область;1678
2025-09-01;Забайкальский край;1803
2025-09-01;Еврейская автономная область;143
2025-09-01;Воронежская область;4059
2025-09-01;Вологодская область;2311
2025-09-01;Волгоградская область;4290
2025-09-01;Владимирская область;3944
2025-09-01;Брянская область;1942
2025-09-01;Белгородская область;5051
2025-09-01;Астраханская область;1863
2025-09-01;Архангельская область;2407
2025-09-01;Амурская область;2568
2025-09-01;Алтайский край;2417
2025-09-01;Россия;327010
2025-08-01;Ярославская область;2333
2025-08-01;Ямало-Ненецкий автономный округ;1649
2025-08-01;Чукотский автономный округ;117
2025-08-01;Чувашская Республика;1680
2025-08-01;Чеченская Республика;117
2025-08-01;Челябинская область;7576
2025-08-01;Ханты-Мансийский автономный округ — Югра;6097
2025-08-01;Хабаровский край;3428
2025-08-01;Ульяновская область;2530
2025-08-01;Удмуртская Республика;1689
2025-08-01;Тюменская область;13080
2025-08-01;Тульская область;2221
2025-08-01;Томская область;2162
2025-08-01;Тверская область;1674
2025-08-01;Тамбовская область;1549
2025-08-01;Ставропольский край;3799
2025-08-01;Смоленская область;1174
2025-08-01;Севастополь;2065
2025-08-01;Свердловская область;10520
2025-08-01;Сахалинская область;1741
2025-07-01;Санкт-Петербург;15536
2025-07-01;Самарская область;4260
2025-07-01;Рязанская область;2094
2025-07-01;Ростовская область;9253
2025-07-01;Республика Хакасия;2129
2025-07-01;Республика Тыва;796
2025-07-01;Республика Татарстан;6759
2025-07-01;Республика Северная Осетия — Алания;510
2025-07-01;Республика Саха (Якутия);2304
2025-07-01;Республика Мордовия;1274
2025-07-01;Республика Марий Эл;1121
2025-07-01;Республика Крым;6371
2025-07-01;Республика Коми;1047
2025-07-01;Республика Карелия;952
2025-07-01;Республика Калмыкия;245
2025-07-01;Республика Дагестан;1046
2025-07-01;Республика Бурятия;1897
2025-07-01;Республика Башкортостан;9098
2025-07-01;Республика Алтай;301
2025-07-01;Республика Адыгея;677
2025-07-01;Псковская область;818
2025-07-01;Приморский край;2904
