"date";"category";"value"
"2025-09-30";"Алтайский край";125057
"2025-09-30";"Амурская область";193676
"2025-09-30";"Архангельская область";124548
"2025-09-30";"Астраханская область";165709
"2025-09-30";"Белгородская область";123657
"2025-09-30";"Брянская область";103470
"2025-09-30";"Владимирская область";111337
"2025-09-30";"Волгоградская область";120897
"2025-09-30";"Вологодская область";111486
"2025-09-30";"Воронежская область";123483
"2025-09-30";"Забайкальский край";174610
"2025-09-30";"Ивановская область";104776
"2025-09-30";"Иркутская область";163766
"2025-09-30";"Кабардино-Балкарская Республика";93339
"2025-09-30";"Калининградская область";142939
"2025-09-30";"Калужская область";114878
"2025-09-30";"Камчатский край";183010
"2025-09-30";"Карачаево-Черкесская Республика";98768
"2025-09-30";"Кемеровская область";132374
"2025-09-30";"Кировская область";133174
"2025-09-30";"Костромская область";99937
"2025-09-30";"Краснодарский край";170554
"2025-09-30";"Красноярский край";135304
"2025-09-30";"Курганская область";104705
"2025-09-30";"Курская область";117662
"2025-09-30";"Ленинградская область";180491
"2025-09-30";"Липецкая область";101738
"2025-09-30";"Москва";368883
"2025-09-30";"Московская область";192354
"2025-09-30";"Нижегородская область";170466
"2025-09-30";"Новгородская область";101578
"2025-09-30";"Новосибирская область";146245
"2025-09-30";"Омская область";156344
"2025-09-30";"Оренбургская область";96932
"2025-09-30";"Орловская область";94627
"2025-09-30";"Пензенская область";101512
"2025-09-30";"Пермский край";149327
"2025-09-30";"Приморский край";173934
"2025-09-30";"Псковская область";81430
"2025-09-30";"Республика Адыгея";146068
"2025-09-30";"Республика Алтай";253621
"2025-09-30";"Республика Башкортостан";146267
"2025-09-30";"Республика Бурятия";153218
"2025-09-30";"Республика Дагестан";154593
"2025-09-30";"Республика Калмыкия";88771
"2025-09-30";"Республика Карелия";128306
"2025-09-30";"Республика Коми";121954
"2025-09-30";"Республика Крым";201901
"2025-09-30";"Республика Марий Эл";110485
"2025-09-30";"Республика Мордовия";117347
"2025-09-30";"Республика Саха (Якутия)";179947
"2025-09-30";"Республика Северная Осетия — Алания";118310
"2025-09-30";"Республика Татарстан";194953
"2025-09-30";"Республика Тыва";149844
"2025-09-30";"Республика Хакасия";131330
"2025-09-30";"Россия";176847
"2025-09-30";"Ростовская область";142822
"2025-09-30";"Рязанская область";121148
"2025-09-30";"Самарская область";127088
"2025-09-30";"Санкт-Петербург";246869
"2025-09-30";"Саратовская область";102135
"2025-09-30";"Сахалинская область";201530
"2025-09-30";"Свердловская область";150587
"2025-09-30";"Севастополь";199351
"2025-09-30";"Смоленская область";105430
"2025-09-30";"Ставропольский край";110465
"2025-09-30";"Тамбовская область";103085
"2025-09-30";"Тверская область";123798
"2025-09-30";"Томская область";160504
"2025-09-30";"Тульская область";133146
"2025-09-30";"Тюменская область";143754
"2025-09-30";"Удмуртская Республика";121800
"2025-09-30";"Ульяновская область";112557
"2025-09-30";"Хабаровский край";163029
"2025-09-30";"Ханты-Мансийский автономный округ — Югра";151798
"2025-09-30";"Челябинская область";125647
"2025-09-30";"Чувашская Республика";110221
"2025-09-30";"Ямало-Ненецкий автономный округ";179204
"2025-09-30";"Ярославская область";109929
"2025-08-31";"Алтайский край";122219
"2025-08-31";"Амурская область";195877
"2025-08-31";"Архангельская область";124446
