"date";"category";"value"
"2025-09-30";"Алтайский край";93194
"2025-09-30";"Амурская область";134773
"2025-09-30";"Архангельская область";103069
"2025-09-30";"Астраханская область";82082
"2025-09-30";"Белгородская область";88481
"2025-09-30";"Брянская область";72552
"2025-09-30";"Владимирская область";73309
"2025-09-30";"Волгоградская область";83218
"2025-09-30";"Вологодская область";82430
"2025-09-30";"Воронежская область";95224
"2025-09-30";"Еврейская автономная область";87454
"2025-09-30";"Забайкальский край";111715
"2025-09-30";"Ивановская область";74565
"2025-09-30";"Иркутская область";94013
"2025-09-30";"Кабардино-Балкарская Республика";72484
"2025-09-30";"Калининградская область";113030
"2025-09-30";"Калужская область";91259
"2025-09-30";"Камчатский край";123429
"2025-09-30";"Карачаево-Черкесская Республика";82608
"2025-09-30";"Кемеровская область";81053
"2025-09-30";"Кировская область";90023
"2025-09-30";"Костромская область";74866
"2025-09-30";"Краснодарский край";143926
"2025-09-30";"Красноярский край";96821
"2025-09-30";"Курганская область";76112
"2025-09-30";"Курская область";106931
"2025-09-30";"Ленинградская область";131656
"2025-09-30";"Липецкая область";80007
"2025-09-30";"Магаданская область";135266
"2025-09-30";"Москва";317176
"2025-09-30";"Московская область";150137
"2025-09-30";"Мурманская область";80132
"2025-09-30";"Ненецкий автономный округ";107500
"2025-09-30";"Нижегородская область";108138
"2025-09-30";"Новгородская область";86120
"2025-09-30";"Новосибирская область";113905
"2025-09-30";"Омская область";102040
"2025-09-30";"Оренбургская область";71146
"2025-09-30";"Орловская область";75178
"2025-09-30";"Пензенская область";82397
"2025-09-30";"Пермский край";83950
"2025-09-30";"Приморский край";130283
"2025-09-30";"Псковская область";76790
"2025-09-30";"Республика Адыгея";99753
"2025-09-30";"Республика Алтай";163886
"2025-09-30";"Республика Башкортостан";84438
"2025-09-30";"Республика Бурятия";116901
"2025-09-30";"Республика Дагестан";93088
"2025-09-30";"Республика Ингушетия";36024
"2025-09-30";"Республика Калмыкия";88418
"2025-09-30";"Республика Карелия";86914
"2025-09-30";"Республика Коми";75298
"2025-09-30";"Республика Крым";151191
"2025-09-30";"Республика Марий Эл";86507
"2025-09-30";"Республика Мордовия";85047
"2025-09-30";"Республика Саха (Якутия)";132706
"2025-09-30";"Республика Северная Осетия — Алания";87791
