region;municipality_up_name;municipality_up_name_actual;municipality_down_name;settlement_name;settlement_name_sep;type;territory_id
Архангельская область;Вельский муниципальный район;Вельский муниципальный район;Городское поселение Кулойское;рп Кулой;рп Кулой (Архангельская область);рп;897
Архангельская область;Виноградовский муниципальный район;Виноградовский муниципальный округ;Березниковское сельское поселение;посёлок Березник;посёлок Березник (Архангельская область);поселок;900
Архангельская область;Коношский муниципальный район;Коношский муниципальный район;Городское поселение Коношское;рп Коноша;рп Коноша (Архангельская область);рп;902
Архангельская область;Котласский муниципальный район;Котласский муниципальный округ;Городское поселение Приводинское;рп Приводино;рп Приводино (Архангельская область);рп;903
Архангельская область;Котласский муниципальный район;Котласский муниципальный округ;Городское поселение Шипицынское;рп Шипицыно;рп Шипицыно (Архангельская область);рп;903
Архангельская область;Ленский муниципальный район;Ленский муниципальный район;Сафроновское сельское поселение;село Яренск;село Яренск (Архангельская область);село;325
Архангельская область;Ленский муниципальный район;Ленский муниципальный район;Городское поселение Урдомское;рп Урдома;рп Урдома (Архангельская область);рп;325
Архангельская область;Лешуконский муниципальный район;Лешуконский муниципальный округ;Лешуконское сельское поселение;село Лешуконское;село Лешуконское (Архангельская область);село;906
Архангельская область;Онежский муниципальный район;Онежский муниципальный район;Городское поселение Малошуйское;рп Малошуйка;рп Малошуйка (Архангельская область);рп;909
Архангельская область;Пинежский муниципальный район;Пинежский муниципальный округ;Карпогорское сельское поселение;село Карпогоры;село Карпогоры (Архангельская область);село;910
Архангельская область;Приморский муниципальный район;Приморский муниципальный округ;Уемское сельское поселение;поселок Уемский;поселок Уемский (Архангельская область);поселок;912
Архангельская область;Приморский муниципальный район;Приморский муниципальный округ;Катунинское сельское поселение;посёлок Катунино;посёлок Катунино (Архангельская область);поселок;912
Архангельская область;Устьянский муниципальный район;Устьянский муниципальный округ;Городское поселение Октябрьское;рп Октябрьский;рп Октябрьский (Архангельская область);рп;913
Архангельская область;Холмогорский муниципальный район;Холмогорский муниципальный округ;Холмогорское сельское поселение;село Холмогоры;село Холмогоры (Архангельская область);село;914
Красноярский край;Богучанский муниципальный район;Богучанский муниципальный район;Сельское поселение Богучанский сельсовет;село Богучаны;село Богучаны (Красноярский край);село;689
Красноярский край;Богучанский муниципальный район;Богучанский муниципальный район;Сельское поселение Таежнинский сельсовет;поселок Таежный;поселок Таежный (Красноярский край);поселок;689
Красноярский край;Енисейский муниципальный район;Енисейский муниципальный район;Городское поселение поселок Подтесово;пгт Подтесово;пгт Подтесово (Красноярский край);пгт;694
Красноярский край;Енисейский муниципальный район;Енисейский муниципальный район;Сельское поселение Верхнепашинский сельсовет;село Верхнепашино;село Верхнепашино (Красноярский край);село;694
Красноярский край;Мотыгинский муниципальный район;Мотыгинский муниципальный район;Городское поселение поселок Мотыгино;пгт Мотыгино;пгт Мотыгино (Красноярский край);пгт;708
Красноярский край;Мотыгинский муниципальный район;Мотыгинский муниципальный район;Городское поселение поселок Раздолинск;пгт Раздолинск;пгт Раздолинск (Красноярский край);пгт;708
Красноярский край;Северо-Енисейский муниципальный район;Северо-Енисейский муниципальный район;Северо-Енисейский муниципальный район;Северо-Енисейский гп;Северо-Енисейский гп (Красноярский край);пгт;716
Красноярский край;Таймырский Долгано-Ненецкий муниципальный район;Таймырский Долгано-Ненецкий муниципальный район;Сельское поселение Хатанга;село Хатанга;село Хатанга (Красноярский край);село;718
Красноярский край;Туруханский муниципальный район;Туруханский муниципальный район;Сельское поселение Туруханский сельсовет;село Туруханск;село Туруханск (Красноярский край);село;720
Красноярский край;Эвенкийский муниципальный район;Эвенкийский муниципальный район;Сельское поселение село Ванавара;село Ванавара;село Ванавара (Красноярский край);село;726
Красноярский край;Эвенкийский муниципальный район;Эвенкийский муниципальный район;Сельское поселение село Байкит;село Байкит;село Байкит (Красноярский край);село;726
Красноярский край;Эвенкийский муниципальный район;Эвенкийский муниципальный район;Сельское поселение поселок Тура;поселок Тура;поселок Тура (Красноярский край);поселок;726
Мурманская область;Городской округ город Североморск (ЗАТО);городской округ ЗАТО город Североморск;Городской округ город Североморск (ЗАТО);пгт Сафоново;пгт Сафоново (Мурманская область);пгт;1517
Мурманская область;Городской округ поселок Видяево (ЗАТО);городской округ ЗАТО поселок Видяево;Городской округ поселок Видяево (ЗАТО);населенный пункт Видяево;населенный пункт Видяево (Мурманская область);поселок;1514
Мурманская область;Кандалакшский муниципальный район;Кандалакшский муниципальный район;Сельское поселение Алакуртти;село Алакуртти;село Алакуртти (Мурманская область);село;1518
Мурманская область;Кандалакшский муниципальный район;Кандалакшский муниципальный район;Городское поселение Зеленоборский;пгт Зеленоборский;пгт Зеленоборский (Мурманская область);пгт;1518
Мурманская область;Кольский муниципальный район;Кольский муниципальный район;Городское поселение Мурмаши;пгт Мурмаши;пгт Мурмаши (Мурманская область);пгт;1519
Мурманская область;Кольский муниципальный район;Кольский муниципальный район;Городское поселение Молочный;пгт Молочный;пгт Молочный (Мурманская область);пгт;1519
Мурманская область;Кольский муниципальный район;Кольский муниципальный район;Городское поселение Кильдинстрой;пгт Кильдинстрой;пгт Кильдинстрой (Мурманская область);пгт;1519
Мурманская область;Кольский муниципальный район;Кольский муниципальный район;Городское поселение Верхнетуломский;пгт Верхнетуломский;пгт Верхнетуломский (Мурманская область);пгт;1519
Мурманская область;Ловозерский муниципальный район;Ловозерский муниципальный район;Городское поселение Ревда;пгт Ревда;пгт Ревда (Мурманская область);пгт;1520
Мурманская область;Печенгский муниципальный округ;Печенгский муниципальный округ;Печенгский муниципальный округ;пгт Никель;пгт Никель (Мурманская область);пгт;1521
Мурманская область;Печенгский муниципальный округ;Печенгский муниципальный округ;Печенгский муниципальный округ;пгт Печенга;пгт Печенга (Мурманская область);пгт;1521
Мурманская область;Терский муниципальный район;Терский муниципальный район;Городское поселение Умба;пгт Умба;пгт Умба (Мурманская область);пгт;1522
Ненецкий автономный округ;Заполярный муниципальный район;Заполярный муниципальный район;Городское поселение рабочий поселок Искателей;рабочий поселок Искателей;рабочий поселок Искателей (Ненецкий автономный округ);рп;917
Республика Карелия;Калевальский муниципальный район;Калевальский муниципальный район;Калевальское городское поселение;пгт Калевала;пгт Калевала (Республика Карелия);пгт;209
Республика Карелия;Лоухский муниципальный район;Лоухский муниципальный район;Лоухское городское поселение;пгт Лоухи;пгт Лоухи (Республика Карелия);пгт;213
Республика Карелия;Медвежьегорский муниципальный район;Медвежьегорский муниципальный район;Пиндушское городское поселение;пгт Пиндуши;пгт Пиндуши (Республика Карелия);пгт;214
Республика Карелия;Медвежьегорский муниципальный район;Медвежьегорский муниципальный район;Повенецкое городское поселение;пгт Повенец;пгт Повенец (Республика Карелия);пгт;214
Республика Карелия;Муезерский муниципальный район;Муезерский муниципальный район;Муезерское городское поселение;пгт Муезерский;пгт Муезерский (Республика Карелия);пгт;215
Республика Карелия;Сегежский муниципальный район;Сегежский муниципальный округ;Надвоицкое городское поселение;пгт Надвоицы;пгт Надвоицы (Республика Карелия);пгт;221
